relationshipspairslash,No Archive Warnings Apply,Choose Not To Use Archive Warnings,Graphic Depictions Of Violence,Major Character Death,Rape/Non-Con,Underage
Elim Garak/Julian Bashir,78.4,16.900000000000002,1.9,1.3,1.3,0.2
Jadzia Dax/Kira Nerys,83.7,12.1,0.2,3.6999999999999997,0.2,0.0
Odo/Quark,84.89999999999999,12.2,0.8,1.6,0.5,0.0
non-cast/non-cast,61.4,22.7,7.199999999999999,5.3,2.5,0.8999999999999999
Kira Nerys/Odo,62.8,30.4,2.4,3.2,1.2,0.0
Jadzia Dax/Worf,68.4,22.400000000000002,2.6,5.8999999999999995,0.7000000000000001,0.0
Julian Bashir/non-cast,65.3,18.7,6.0,4.0,6.0,0.0
Keiko O'Brien/Miles O'Brien,83.3,12.7,2.4,0.8,0.8,0.0
Corat Damar/Weyoun,64.8,21.099999999999998,3.9,3.9,6.2,0.0
Elim Garak/Kelas Parmak,80.80000000000001,13.3,1.7000000000000002,2.5,0.8,0.8
Ezri Dax/Julian Bashir,71.1,21.9,2.6,3.5000000000000004,0.8999999999999999,0.0
Julian Bashir/Miles O'Brien,87.0,8.0,3.0,1.0,1.0,0.0
Elim Garak/non-cast,55.800000000000004,25.3,11.600000000000001,0.0,5.3,2.1
Jake Sisko/Nog,83.3,10.7,2.4,1.2,1.2,1.2
Ezri Dax/Kira Nerys,66.7,22.2,4.2,6.9,0.0,0.0
Jadzia Dax/Lenara Kahn,84.89999999999999,11.0,0.0,4.1000000000000005,0.0,0.0
Benjamin Sisko/Kasidy Yates,66.2,21.5,9.2,3.1,0.0,0.0
Kira Nerys/Skrain Dukat,54.800000000000004,24.2,3.2,3.2,14.499999999999998,0.0
Skrain Dukat/non-cast,42.1,42.1,3.5000000000000004,1.7999999999999998,10.5,0.0
Elim Garak/Julian Bashir/Kelas Parmak,85.39999999999999,14.6,0.0,0.0,0.0,0.0
Jadzia Dax/Julian Bashir,75.0,15.9,6.800000000000001,0.0,2.3,0.0
Benjamin Sisko/Kira Nerys,90.5,7.1,0.0,2.4,0.0,0.0
Elim Garak/Skrain Dukat,51.2,29.299999999999997,2.4,4.9,9.8,2.4
Elim Garak/Tora Ziyal,53.800000000000004,38.5,2.6,5.1,0.0,0.0
Corat Damar/Kira Nerys,71.39999999999999,11.4,14.299999999999999,2.9000000000000004,0.0,0.0
Kira Nerys/non-cast,66.7,19.400000000000002,8.3,0.0,5.6000000000000005,0.0
Elim Garak/Odo,39.4,60.6,0.0,0.0,0.0,0.0
Keiko O'Brien/Kira Nerys/Miles O'Brien,94.1,5.8999999999999995,0.0,0.0,0.0,0.0
Weyoun/non-cast,40.0,45.7,5.7,2.9000000000000004,5.7,0.0
Skrain Dukat/Tora Naprem,60.6,27.3,6.1,3.0,3.0,0.0
Benjamin Sisko/Julian Bashir,90.9,6.1,0.0,0.0,3.0,0.0
Bareil Antos/Kira Nerys,71.89999999999999,18.8,0.0,9.4,0.0,0.0
Jadzia Dax/non-cast,81.8,3.0,9.1,3.0,3.0,0.0
Skrain Dukat/Weyoun,50.0,40.6,3.1,0.0,6.2,0.0
Julian Bashir/Leeta,93.10000000000001,6.9,0.0,0.0,0.0,0.0
Jake Sisko/Tora Ziyal,71.89999999999999,15.6,3.1,9.4,0.0,0.0
Leeta/Rom,76.7,13.3,3.3000000000000003,6.7,0.0,0.0
Keiko O'Brien/Kira Nerys,96.3,0.0,3.6999999999999997,0.0,0.0,0.0
Julian Bashir/Kira Nerys,85.7,14.299999999999999,0.0,0.0,0.0,0.0
Julian Bashir/Kelas Parmak,85.2,11.1,0.0,3.6999999999999997,0.0,0.0
Corat Damar/non-cast,40.0,44.0,8.0,8.0,0.0,0.0
Ezri Dax/Lenara Kahn,87.0,4.3,4.3,4.3,0.0,0.0
Corat Damar/Skrain Dukat,52.2,34.8,4.3,4.3,4.3,0.0
Kasidy Yates/Kira Nerys,90.5,4.8,0.0,4.8,0.0,0.0
Benjamin Sisko/Skrain Dukat,69.6,26.1,0.0,4.3,0.0,0.0
Kira Nerys/Kira Nerys,63.6,22.7,0.0,4.5,9.1,0.0
Julian Bashir/Skrain Dukat,28.599999999999998,42.9,0.0,4.8,23.799999999999997,0.0
Brunt/Quark,85.0,15.0,0.0,0.0,0.0,0.0
Quark/non-cast,85.0,5.0,5.0,0.0,5.0,0.0
Kira Nerys/Shakaar Edon,70.0,25.0,0.0,0.0,5.0,0.0
Ezri Dax/Weyoun,94.69999999999999,5.3,0.0,0.0,0.0,0.0
Ezri Dax/non-cast,73.7,15.8,0.0,10.5,0.0,0.0
Enabran Tain/Mila Garak,60.0,35.0,5.0,0.0,0.0,0.0
Jadzia Dax/Leeta,82.39999999999999,17.599999999999998,0.0,0.0,0.0,0.0
Julian Bashir/Quark,88.9,11.1,0.0,0.0,0.0,0.0
Elim Garak/Julian Bashir/non-cast,100.0,0.0,0.0,0.0,0.0,0.0
Elim Garak/Weyoun,87.5,6.2,6.2,0.0,0.0,0.0
Benjamin Sisko/Kasidy Yates/Kira Nerys,93.8,0.0,0.0,6.2,0.0,0.0
Lwaxana Troi/Odo,62.5,31.2,0.0,0.0,6.2,0.0
Julian Bashir/Keiko O'Brien/Miles O'Brien,92.9,7.1,0.0,0.0,0.0,0.0
Benjamin Sisko/Jadzia Dax,100.0,0.0,0.0,0.0,0.0,0.0
Odo/non-cast,57.099999999999994,35.699999999999996,7.1,0.0,0.0,0.0
Kimara Cretak/Kira Nerys,85.7,14.299999999999999,0.0,0.0,0.0,0.0
Corat Damar/Elim Garak,46.7,26.700000000000003,13.3,0.0,13.3,0.0
Julian Bashir/Martok,53.800000000000004,38.5,0.0,0.0,7.7,0.0
Worf/non-cast,60.0,20.0,6.7,6.7,6.7,0.0
Kira Meru/Skrain Dukat,21.4,64.3,7.1,0.0,7.1,0.0
Elim Garak/Quark,72.7,18.2,9.1,0.0,0.0,0.0
Elim Garak/Worf,63.6,18.2,18.2,0.0,0.0,0.0
Keevan/Remata'Klan,54.50000000000001,9.1,36.4,0.0,0.0,0.0
Natima Lang/Quark,66.7,33.300000000000004,0.0,0.0,0.0,0.0
Q/non-cast,80.0,20.0,0.0,0.0,0.0,0.0
Grilka/Quark,70.0,20.0,10.0,0.0,0.0,0.0
Jadzia Dax/Kira Nerys/Lenara Kahn,100.0,0.0,0.0,0.0,0.0,0.0
Ezri Dax/Tora Ziyal,100.0,0.0,0.0,0.0,0.0,0.0
Benjamin Sisko/non-cast,80.0,20.0,0.0,0.0,0.0,0.0
Odo/Weyoun,81.8,0.0,9.1,0.0,9.1,0.0
Sarina Douglas/non-cast,88.9,11.1,0.0,0.0,0.0,0.0
Elim Garak/Miles O'Brien,55.60000000000001,33.300000000000004,11.1,0.0,0.0,0.0
Skrain Dukat/Winn Adami,66.7,22.2,0.0,11.1,0.0,0.0
Elim Garak/Kira Nerys,40.0,60.0,0.0,0.0,0.0,0.0
Keevan/Weyoun,55.60000000000001,11.1,22.2,11.1,0.0,0.0
Kira Nerys/Tora Ziyal,62.5,12.5,0.0,12.5,12.5,0.0
Keevan/non-cast,10.0,40.0,20.0,0.0,30.0,0.0
Hanok/Quark,75.0,25.0,0.0,0.0,0.0,0.0
Elim Garak/Ezri Dax/Julian Bashir,75.0,25.0,0.0,0.0,0.0,0.0
Julian Bashir/Sarina Douglas,75.0,25.0,0.0,0.0,0.0,0.0
Tora Ziyal/non-cast,87.5,12.5,0.0,0.0,0.0,0.0
Benjamin Sisko/Elim Garak,66.7,11.1,11.1,11.1,0.0,0.0
Ezri Dax/Worf,62.5,25.0,0.0,0.0,12.5,0.0
Miles O'Brien/non-cast,71.39999999999999,28.599999999999998,0.0,0.0,0.0,0.0
Emony Dax/non-cast,57.099999999999994,42.9,0.0,0.0,0.0,0.0
Quark/Worf,100.0,0.0,0.0,0.0,0.0,0.0
Elim Garak/Julian Bashir/Odo,87.5,12.5,0.0,0.0,0.0,0.0
Julian Bashir/Luther Sloan,75.0,0.0,12.5,12.5,0.0,0.0
Julian Bashir/Worf,71.39999999999999,28.599999999999998,0.0,0.0,0.0,0.0
Shakaar Edon/non-cast,85.7,0.0,0.0,0.0,14.299999999999999,0.0
Julian Bashir/Melora Pazlar,100.0,0.0,0.0,0.0,0.0,0.0
Pel/Quark,85.7,0.0,0.0,0.0,14.299999999999999,0.0
Nilani Kahn/Torias Dax,71.39999999999999,0.0,0.0,28.599999999999998,0.0,0.0
Kira Nerys/Miles O'Brien,85.7,14.299999999999999,0.0,0.0,0.0,0.0
Elim Garak/Pythas Lok,83.3,16.7,0.0,0.0,0.0,0.0
Elim Garak/Jadzia Dax,83.3,16.7,0.0,0.0,0.0,0.0
Jack/Kelas Parmak,16.7,83.3,0.0,0.0,0.0,0.0
Ezri Dax/Jadzia Dax,66.7,16.7,16.7,0.0,0.0,0.0
Elim Garak/Keiko O'Brien,50.0,50.0,0.0,0.0,0.0,0.0
Elim Garak/Palandine,100.0,0.0,0.0,0.0,0.0,0.0
Nog/non-cast,28.599999999999998,28.599999999999998,14.299999999999999,14.299999999999999,14.299999999999999,0.0
Ezri Dax/Quark,100.0,0.0,0.0,0.0,0.0,0.0
Benjamin Sisko/Curzon Dax,100.0,0.0,0.0,0.0,0.0,0.0
Curzon Dax/Jadzia Dax,60.0,40.0,0.0,0.0,0.0,0.0
Kira Nerys/Odo/Quark,83.3,16.7,0.0,0.0,0.0,0.0
Thomas Riker/non-cast,60.0,20.0,20.0,0.0,0.0,0.0
Skrain Dukat/Tora Ziyal,16.7,33.300000000000004,0.0,0.0,33.300000000000004,16.7
Julian Bashir/Tora Ziyal,80.0,0.0,20.0,0.0,0.0,0.0
Julian Bashir/Palis Delon,100.0,0.0,0.0,0.0,0.0,0.0
Ishka/Lwaxana Troi,100.0,0.0,0.0,0.0,0.0,0.0
Benjamin Sisko/Jennifer Sisko,66.7,16.7,16.7,0.0,0.0,0.0
Julian Bashir/Keiko O'Brien,80.0,20.0,0.0,0.0,0.0,0.0
Jack/Sarina Douglas,60.0,20.0,20.0,0.0,0.0,0.0
Kira Nerys/Lupaza,75.0,25.0,0.0,0.0,0.0,0.0
Elim Garak/Julian Bashir/Tora Ziyal,75.0,0.0,25.0,0.0,0.0,0.0
Benjamin Sisko/Quark,100.0,0.0,0.0,0.0,0.0,0.0
Kira Nerys/Leeta,75.0,25.0,0.0,0.0,0.0,0.0
Female Changeling/Odo,50.0,50.0,0.0,0.0,0.0,0.0
Remata'Klan/non-cast,0.0,0.0,33.300000000000004,0.0,66.7,0.0
Ezri Dax/Leeta,75.0,25.0,0.0,0.0,0.0,0.0
Morn/non-cast,50.0,50.0,0.0,0.0,0.0,0.0
Ezri Dax/Jake Sisko,100.0,0.0,0.0,0.0,0.0,0.0
Yelgrun/non-cast,25.0,50.0,25.0,0.0,0.0,0.0
Felix/Julian Bashir,100.0,0.0,0.0,0.0,0.0,0.0
Elim Garak/Jadzia Dax/Julian Bashir,75.0,25.0,0.0,0.0,0.0,0.0
Female Changeling/Weyoun,42.9,14.299999999999999,0.0,14.299999999999999,28.599999999999998,0.0
Kira Nerys/Quark,100.0,0.0,0.0,0.0,0.0,0.0
Eris/Weyoun,40.0,20.0,20.0,20.0,0.0,0.0
Martok/non-cast,75.0,25.0,0.0,0.0,0.0,0.0
Jake Sisko/non-cast,50.0,50.0,0.0,0.0,0.0,0.0
Keiko O'Brien/non-cast,66.7,0.0,0.0,0.0,33.300000000000004,0.0
Captain Solok/non-cast,33.300000000000004,66.7,0.0,0.0,0.0,0.0
Corat Damar/Tora Ziyal,50.0,25.0,25.0,0.0,0.0,0.0
Kelas Parmak/non-cast,100.0,0.0,0.0,0.0,0.0,0.0
Julian Bashir/Julian Bashir,75.0,25.0,0.0,0.0,0.0,0.0
Benjamin Sisko/Odo,33.300000000000004,33.300000000000004,0.0,0.0,33.300000000000004,0.0
Vreenak/non-cast,0.0,100.0,0.0,0.0,0.0,0.0
Jadzia Dax/Keiko O'Brien,33.300000000000004,66.7,0.0,0.0,0.0,0.0
Rotan'talag/Weyoun,66.7,0.0,33.300000000000004,0.0,0.0,0.0
Jack/Julian Bashir,0.0,100.0,0.0,0.0,0.0,0.0
Corat Damar/Skrain Dukat/Weyoun,0.0,100.0,0.0,0.0,0.0,0.0
Benjamin Sisko/Michael Eddington,100.0,0.0,0.0,0.0,0.0,0.0
Elim Garak/Julian Bashir/Miles O'Brien,100.0,0.0,0.0,0.0,0.0,0.0
Eris/Luaran,66.7,0.0,33.300000000000004,0.0,0.0,0.0
Enabran Tain/Julian Bashir,20.0,0.0,40.0,20.0,20.0,0.0
Julian Bashir/non-cast/non-cast,40.0,0.0,20.0,20.0,20.0,0.0
Felix/non-cast,100.0,0.0,0.0,0.0,0.0,0.0
Julian Bashir/Weyoun,66.7,0.0,33.300000000000004,0.0,0.0,0.0
Corat Damar/Ezri Dax,75.0,25.0,0.0,0.0,0.0,0.0
Arissa/Odo,75.0,25.0,0.0,0.0,0.0,0.0
Keevan/Yelgrun,66.7,33.300000000000004,0.0,0.0,0.0,0.0
Furel/Lupaza,66.7,0.0,0.0,0.0,33.300000000000004,0.0
Alexander Rozhenko/Nog,33.300000000000004,66.7,0.0,0.0,0.0,0.0
Aamin Marritza/Iliana Ghemor,66.7,33.300000000000004,0.0,0.0,0.0,0.0
Jadzia Dax/Kira Nerys/Worf,66.7,33.300000000000004,0.0,0.0,0.0,0.0
Mekor Dukat/non-cast,100.0,0.0,0.0,0.0,0.0,0.0
Jadzia Dax/Julian Bashir/Worf,100.0,0.0,0.0,0.0,0.0,0.0
Tora Naprem/non-cast,100.0,0.0,0.0,0.0,0.0,0.0
Iloja of Prim/Tobin Dax,66.7,33.300000000000004,0.0,0.0,0.0,0.0
Goran'Agar/Julian Bashir,100.0,0.0,0.0,0.0,0.0,0.0
Boheeka/Quark,33.300000000000004,66.7,0.0,0.0,0.0,0.0
Kira Nerys/Worf,0.0,100.0,0.0,0.0,0.0,0.0
Enabran Tain/Kelas Parmak,0.0,100.0,0.0,0.0,0.0,0.0
Dax/Lenara Kahn,100.0,0.0,0.0,0.0,0.0,0.0
Opaka/Winn Adami,50.0,50.0,0.0,0.0,0.0,0.0
Worf/non-cast/non-cast,100.0,0.0,0.0,0.0,0.0,0.0
Laas/Odo,100.0,0.0,0.0,0.0,0.0,0.0
Quark/Vic Fontaine,100.0,0.0,0.0,0.0,0.0,0.0
Gilora Rejal/non-cast,100.0,0.0,0.0,0.0,0.0,0.0
Joseph Sisko/Sarah Sisko,50.0,0.0,0.0,0.0,50.0,0.0
Benjamin Sisko/Vic Fontaine,50.0,50.0,0.0,0.0,0.0,0.0
Kira Nerys/Winn Adami,50.0,50.0,0.0,0.0,0.0,0.0
Natima Lang/Tora Naprem,100.0,0.0,0.0,0.0,0.0,0.0
Borath/non-cast,0.0,50.0,50.0,0.0,0.0,0.0
Joseph Sisko/non-cast,0.0,0.0,0.0,0.0,100.0,0.0
Corat Damar/Keevan,100.0,0.0,0.0,0.0,0.0,0.0
Reese/non-cast,100.0,0.0,0.0,0.0,0.0,0.0
Jadzia Dax/Melora Pazlar,100.0,0.0,0.0,0.0,0.0,0.0
Elim Garak/Julian Bashir/Skrain Dukat,50.0,50.0,0.0,0.0,0.0,0.0
Elim Garak/Enabran Tain,66.7,33.300000000000004,0.0,0.0,0.0,0.0
Chalan Aroya/Odo,100.0,0.0,0.0,0.0,0.0,0.0
Enabran Tain/Martok,100.0,0.0,0.0,0.0,0.0,0.0
Julian Bashir/Odo,100.0,0.0,0.0,0.0,0.0,0.0
Julian Bashir/Q,100.0,0.0,0.0,0.0,0.0,0.0
Jaro Essa/Winn Adami,100.0,0.0,0.0,0.0,0.0,0.0
Corat Damar/Skrain Dukat/non-cast,0.0,100.0,0.0,0.0,0.0,0.0
Grilka/Natima Lang,50.0,50.0,0.0,0.0,0.0,0.0
Ezri Dax/Jadzia Dax/Kira Nerys,100.0,0.0,0.0,0.0,0.0,0.0
Jadzia Dax/Odo,100.0,0.0,0.0,0.0,0.0,0.0
