relationshipspairslash,No Archive Warnings Apply,Choose Not To Use Archive Warnings,Graphic Depictions Of Violence,Major Character Death,Rape/Non-Con,Underage,Total
Elim Garak/Julian Bashir,3041,654,74,52,52,6,3879
Jadzia Dax/Kira Nerys,338,49,1,15,1,0,404
Odo/Quark,320,46,3,6,2,0,377
non-cast/non-cast,197,73,23,17,8,3,321
Kira Nerys/Odo,159,77,6,8,3,0,253
Jadzia Dax/Worf,104,34,4,9,1,0,152
Julian Bashir/non-cast,98,28,9,6,9,0,150
Keiko O'Brien/Miles O'Brien,105,16,3,1,1,0,126
Corat Damar/Weyoun,83,27,5,5,8,0,128
Elim Garak/Kelas Parmak,97,16,2,3,1,1,120
Ezri Dax/Julian Bashir,81,25,3,4,1,0,114
Julian Bashir/Miles O'Brien,87,8,3,1,1,0,100
Elim Garak/non-cast,53,24,11,0,5,2,95
Jake Sisko/Nog,70,9,2,1,1,1,84
Ezri Dax/Kira Nerys,48,16,3,5,0,0,72
Jadzia Dax/Lenara Kahn,62,8,0,3,0,0,73
Benjamin Sisko/Kasidy Yates,43,14,6,2,0,0,65
Kira Nerys/Skrain Dukat,34,15,2,2,9,0,62
Skrain Dukat/non-cast,24,24,2,1,6,0,57
Elim Garak/Julian Bashir/Kelas Parmak,41,7,0,0,0,0,48
Jadzia Dax/Julian Bashir,33,7,3,0,1,0,44
Benjamin Sisko/Kira Nerys,38,3,0,1,0,0,42
Elim Garak/Skrain Dukat,21,12,1,2,4,1,41
Elim Garak/Tora Ziyal,21,15,1,2,0,0,39
Corat Damar/Kira Nerys,25,4,5,1,0,0,35
Kira Nerys/non-cast,24,7,3,0,2,0,36
Elim Garak/Odo,13,20,0,0,0,0,33
Keiko O'Brien/Kira Nerys/Miles O'Brien,32,2,0,0,0,0,34
Weyoun/non-cast,14,16,2,1,2,0,35
Skrain Dukat/Tora Naprem,20,9,2,1,1,0,33
Benjamin Sisko/Julian Bashir,30,2,0,0,1,0,33
Bareil Antos/Kira Nerys,23,6,0,3,0,0,32
Jadzia Dax/non-cast,27,1,3,1,1,0,33
Skrain Dukat/Weyoun,16,13,1,0,2,0,32
Julian Bashir/Leeta,27,2,0,0,0,0,29
Jake Sisko/Tora Ziyal,23,5,1,3,0,0,32
Leeta/Rom,23,4,1,2,0,0,30
Keiko O'Brien/Kira Nerys,26,0,1,0,0,0,27
Julian Bashir/Kira Nerys,24,4,0,0,0,0,28
Julian Bashir/Kelas Parmak,23,3,0,1,0,0,27
Corat Damar/non-cast,10,11,2,2,0,0,25
Ezri Dax/Lenara Kahn,20,1,1,1,0,0,23
Corat Damar/Skrain Dukat,12,8,1,1,1,0,23
Kasidy Yates/Kira Nerys,19,1,0,1,0,0,21
Benjamin Sisko/Skrain Dukat,16,6,0,1,0,0,23
Kira Nerys/Kira Nerys,14,5,0,1,2,0,22
Julian Bashir/Skrain Dukat,6,9,0,1,5,0,21
Brunt/Quark,17,3,0,0,0,0,20
Quark/non-cast,17,1,1,0,1,0,20
Kira Nerys/Shakaar Edon,14,5,0,0,1,0,20
Ezri Dax/Weyoun,18,1,0,0,0,0,19
Ezri Dax/non-cast,14,3,0,2,0,0,19
Enabran Tain/Mila Garak,12,7,1,0,0,0,20
Jadzia Dax/Leeta,14,3,0,0,0,0,17
Julian Bashir/Quark,16,2,0,0,0,0,18
Elim Garak/Julian Bashir/non-cast,16,0,0,0,0,0,16
Elim Garak/Weyoun,14,1,1,0,0,0,16
Benjamin Sisko/Kasidy Yates/Kira Nerys,15,0,0,1,0,0,16
Lwaxana Troi/Odo,10,5,0,0,1,0,16
Julian Bashir/Keiko O'Brien/Miles O'Brien,13,1,0,0,0,0,14
Benjamin Sisko/Jadzia Dax,14,0,0,0,0,0,14
Odo/non-cast,8,5,1,0,0,0,14
Kimara Cretak/Kira Nerys,12,2,0,0,0,0,14
Corat Damar/Elim Garak,7,4,2,0,2,0,15
Julian Bashir/Martok,7,5,0,0,1,0,13
Worf/non-cast,9,3,1,1,1,0,15
Kira Meru/Skrain Dukat,3,9,1,0,1,0,14
Elim Garak/Quark,8,2,1,0,0,0,11
Elim Garak/Worf,7,2,2,0,0,0,11
Keevan/Remata'Klan,6,1,4,0,0,0,11
Natima Lang/Quark,8,4,0,0,0,0,12
Q/non-cast,8,2,0,0,0,0,10
Grilka/Quark,7,2,1,0,0,0,10
Jadzia Dax/Kira Nerys/Lenara Kahn,10,0,0,0,0,0,10
Ezri Dax/Tora Ziyal,10,0,0,0,0,0,10
Benjamin Sisko/non-cast,8,2,0,0,0,0,10
Odo/Weyoun,9,0,1,0,1,0,11
Sarina Douglas/non-cast,8,1,0,0,0,0,9
Elim Garak/Miles O'Brien,5,3,1,0,0,0,9
Skrain Dukat/Winn Adami,6,2,0,1,0,0,9
Elim Garak/Kira Nerys,4,6,0,0,0,0,10
Keevan/Weyoun,5,1,2,1,0,0,9
Kira Nerys/Tora Ziyal,5,1,0,1,1,0,8
Keevan/non-cast,1,4,2,0,3,0,10
Hanok/Quark,6,2,0,0,0,0,8
Elim Garak/Ezri Dax/Julian Bashir,6,2,0,0,0,0,8
Julian Bashir/Sarina Douglas,6,2,0,0,0,0,8
Tora Ziyal/non-cast,7,1,0,0,0,0,8
Benjamin Sisko/Elim Garak,6,1,1,1,0,0,9
Ezri Dax/Worf,5,2,0,0,1,0,8
Miles O'Brien/non-cast,5,2,0,0,0,0,7
Emony Dax/non-cast,4,3,0,0,0,0,7
Quark/Worf,7,0,0,0,0,0,7
Elim Garak/Julian Bashir/Odo,7,1,0,0,0,0,8
Julian Bashir/Luther Sloan,6,0,1,1,0,0,8
Julian Bashir/Worf,5,2,0,0,0,0,7
Shakaar Edon/non-cast,6,0,0,0,1,0,7
Julian Bashir/Melora Pazlar,7,0,0,0,0,0,7
Pel/Quark,6,0,0,0,1,0,7
Nilani Kahn/Torias Dax,5,0,0,2,0,0,7
Kira Nerys/Miles O'Brien,6,1,0,0,0,0,7
Elim Garak/Pythas Lok,5,1,0,0,0,0,6
Elim Garak/Jadzia Dax,5,1,0,0,0,0,6
Jack/Kelas Parmak,1,5,0,0,0,0,6
Ezri Dax/Jadzia Dax,4,1,1,0,0,0,6
Elim Garak/Keiko O'Brien,3,3,0,0,0,0,6
Elim Garak/Palandine,6,0,0,0,0,0,6
Nog/non-cast,2,2,1,1,1,0,7
Ezri Dax/Quark,6,0,0,0,0,0,6
Benjamin Sisko/Curzon Dax,5,0,0,0,0,0,5
Curzon Dax/Jadzia Dax,3,2,0,0,0,0,5
Kira Nerys/Odo/Quark,5,1,0,0,0,0,6
Thomas Riker/non-cast,3,1,1,0,0,0,5
Skrain Dukat/Tora Ziyal,1,2,0,0,2,1,6
Julian Bashir/Tora Ziyal,4,0,1,0,0,0,5
Julian Bashir/Palis Delon,5,0,0,0,0,0,5
Ishka/Lwaxana Troi,5,0,0,0,0,0,5
Benjamin Sisko/Jennifer Sisko,4,1,1,0,0,0,6
Julian Bashir/Keiko O'Brien,4,1,0,0,0,0,5
Jack/Sarina Douglas,3,1,1,0,0,0,5
Kira Nerys/Lupaza,3,1,0,0,0,0,4
Elim Garak/Julian Bashir/Tora Ziyal,3,0,1,0,0,0,4
Benjamin Sisko/Quark,4,0,0,0,0,0,4
Kira Nerys/Leeta,3,1,0,0,0,0,4
Female Changeling/Odo,2,2,0,0,0,0,4
Remata'Klan/non-cast,0,0,2,0,4,0,6
Ezri Dax/Leeta,3,1,0,0,0,0,4
Morn/non-cast,2,2,0,0,0,0,4
Ezri Dax/Jake Sisko,4,0,0,0,0,0,4
Yelgrun/non-cast,1,2,1,0,0,0,4
Felix/Julian Bashir,4,0,0,0,0,0,4
Elim Garak/Jadzia Dax/Julian Bashir,3,1,0,0,0,0,4
Female Changeling/Weyoun,3,1,0,1,2,0,7
Kira Nerys/Quark,4,0,0,0,0,0,4
Eris/Weyoun,2,1,1,1,0,0,5
Martok/non-cast,3,1,0,0,0,0,4
Jake Sisko/non-cast,2,2,0,0,0,0,4
Keiko O'Brien/non-cast,2,0,0,0,1,0,3
Captain Solok/non-cast,1,2,0,0,0,0,3
Corat Damar/Tora Ziyal,2,1,1,0,0,0,4
Kelas Parmak/non-cast,3,0,0,0,0,0,3
Julian Bashir/Julian Bashir,3,1,0,0,0,0,4
Benjamin Sisko/Odo,1,1,0,0,1,0,3
Vreenak/non-cast,0,3,0,0,0,0,3
Jadzia Dax/Keiko O'Brien,1,2,0,0,0,0,3
Rotan'talag/Weyoun,2,0,1,0,0,0,3
Jack/Julian Bashir,0,3,0,0,0,0,3
Corat Damar/Skrain Dukat/Weyoun,0,3,0,0,0,0,3
Benjamin Sisko/Michael Eddington,3,0,0,0,0,0,3
Elim Garak/Julian Bashir/Miles O'Brien,3,0,0,0,0,0,3
Eris/Luaran,2,0,1,0,0,0,3
Enabran Tain/Julian Bashir,1,0,2,1,1,0,5
Julian Bashir/non-cast/non-cast,2,0,1,1,1,0,5
Felix/non-cast,3,0,0,0,0,0,3
Julian Bashir/Weyoun,2,0,1,0,0,0,3
Corat Damar/Ezri Dax,3,1,0,0,0,0,4
Arissa/Odo,3,1,0,0,0,0,4
Keevan/Yelgrun,2,1,0,0,0,0,3
Furel/Lupaza,2,0,0,0,1,0,3
Alexander Rozhenko/Nog,1,2,0,0,0,0,3
Aamin Marritza/Iliana Ghemor,2,1,0,0,0,0,3
Jadzia Dax/Kira Nerys/Worf,2,1,0,0,0,0,3
Mekor Dukat/non-cast,3,0,0,0,0,0,3
Jadzia Dax/Julian Bashir/Worf,3,0,0,0,0,0,3
Tora Naprem/non-cast,3,0,0,0,0,0,3
Iloja of Prim/Tobin Dax,2,1,0,0,0,0,3
Goran'Agar/Julian Bashir,3,0,0,0,0,0,3
Boheeka/Quark,1,2,0,0,0,0,3
Kira Nerys/Worf,0,2,0,0,0,0,2
Enabran Tain/Kelas Parmak,0,2,0,0,0,0,2
Dax/Lenara Kahn,2,0,0,0,0,0,2
Opaka/Winn Adami,1,1,0,0,0,0,2
Worf/non-cast/non-cast,2,0,0,0,0,0,2
Laas/Odo,2,0,0,0,0,0,2
Quark/Vic Fontaine,2,0,0,0,0,0,2
Gilora Rejal/non-cast,2,0,0,0,0,0,2
Joseph Sisko/Sarah Sisko,1,0,0,0,1,0,2
Benjamin Sisko/Vic Fontaine,1,1,0,0,0,0,2
Kira Nerys/Winn Adami,1,1,0,0,0,0,2
Natima Lang/Tora Naprem,2,0,0,0,0,0,2
Borath/non-cast,0,1,1,0,0,0,2
Joseph Sisko/non-cast,0,0,0,0,2,0,2
Corat Damar/Keevan,2,0,0,0,0,0,2
Reese/non-cast,2,0,0,0,0,0,2
Jadzia Dax/Melora Pazlar,2,0,0,0,0,0,2
Elim Garak/Julian Bashir/Skrain Dukat,1,1,0,0,0,0,2
Elim Garak/Enabran Tain,2,1,0,0,0,0,3
Chalan Aroya/Odo,2,0,0,0,0,0,2
Enabran Tain/Martok,2,0,0,0,0,0,2
Julian Bashir/Odo,2,0,0,0,0,0,2
Julian Bashir/Q,2,0,0,0,0,0,2
Jaro Essa/Winn Adami,2,0,0,0,0,0,2
Corat Damar/Skrain Dukat/non-cast,0,2,0,0,0,0,2
Grilka/Natima Lang,1,1,0,0,0,0,2
Ezri Dax/Jadzia Dax/Kira Nerys,2,0,0,0,0,0,2
Jadzia Dax/Odo,2,0,0,0,0,0,2
Jadzia Dax/Kira Nerys/Odo,2,1,0,0,0,0,3
Amsha Bashir/Richard Bashir,1,1,0,0,0,0,2
Keevan/Skrain Dukat,0,1,0,0,1,0,2
Dax/non-cast,1,1,0,0,0,0,2
Corat Damar/Julian Bashir,2,0,0,0,0,0,2
Curzon Dax/Quark,2,0,0,0,0,0,2
Enabran Tain/non-cast,2,0,0,0,0,0,2
Kilana/non-cast,1,1,0,0,0,0,2
Jake Sisko/Kesha,2,0,0,0,0,0,2
Dax/Worf,2,0,0,0,0,0,2
Kira Nerys/non-cast/non-cast,2,0,0,0,0,0,2
Benjamin Sisko/Ezri Dax,2,0,0,0,0,0,2
K'Ehleyr/Worf,2,0,0,0,0,0,2
Elim Garak/Julian Bashir/Keiko O'Brien/Miles O'Brien,1,1,0,0,0,0,2
Barkan Lokar/Elim Garak/Palandine,1,2,0,0,0,0,3
Odo/Worf,2,0,0,0,0,0,2
Ishka/Keldar,1,0,1,0,1,0,3
Akellen Macet/Elim Garak,0,1,0,0,1,1,3
Corat Damar/Mila Garak,2,0,0,0,0,0,2
Morn/Quark,1,1,0,0,0,0,2
Ishka/Zek,2,0,0,0,0,0,2
Elim Garak/Lwaxana Troi,2,0,0,0,0,0,2
Elim Garak/Julian Bashir/Julian Bashir,2,0,0,0,0,0,2
Benjamin Sisko/Rom,1,1,0,0,0,0,2
Winn Adami/non-cast,1,1,0,0,0,0,2
Julian Bashir/Leeta/Rom,2,0,0,0,0,0,2
Leeta/Winn Adami,2,0,0,0,0,0,2
Gelnon/non-cast,0,1,0,0,0,0,1
Eris/non-cast,0,1,0,0,0,0,1
Deyos/non-cast,0,1,0,0,0,0,1
Julian Bashir/Kaga,1,0,0,0,0,0,1
Luaran/non-cast,0,1,0,0,0,0,1
Corat Damar/Ezri Dax/Kira Nerys/Weyoun,1,0,0,0,0,0,1
Elim Garak/Kaga,1,0,0,0,0,0,1
Benjamin Sisko/Tora Ziyal,1,0,0,0,0,0,1
Kira Nerys/Weyoun,1,0,0,0,0,0,1
Kira Nerys/Odo/non-cast,0,0,1,0,0,0,1
Grilka/Natima Lang/Quark,0,1,0,0,0,0,1
Benjamin Sisko/Morn/Zek/non-cast,1,0,0,0,0,0,1
Jadzia Dax/Julian Bashir/non-cast,0,1,0,0,0,0,1
Keevan/Remata'Klan/non-cast,0,0,1,0,1,0,2
Rom/non-cast,1,0,0,0,0,0,1
Curzon Dax/non-cast,1,0,0,0,0,0,1
Torias Dax/non-cast,1,0,0,0,0,0,1
Kimara Cretak/T'Rul,0,0,0,0,1,0,1
Benjamin Sisko/Miles O'Brien,1,0,0,0,0,0,1
Elim Garak/Ezri Dax/Kira Nerys/non-cast,1,0,0,0,0,0,1
Julian Bashir/Lieutenant Watley,0,1,0,0,0,0,1
Mavek/non-cast,0,1,0,0,0,0,1
Benjamin Sisko/Curzon Dax/Jadzia Dax,1,0,0,0,0,0,1
Jadzia Dax/Kilana,0,0,1,1,0,0,2
Kaga/non-cast,1,0,0,0,0,0,1
Jadzia Dax/Kasidy Yates,1,0,0,0,0,0,1
Benjamin Sisko/Elim Garak/Ezri Dax/Jadzia Dax/Julian Bashir/Kasidy Yates/Keiko O'Brien/Kira Nerys/Leeta/Miles O'Brien/Odo/Quark/Rom/Worf,1,0,0,0,0,0,1
Benjamin Sisko/Q,1,1,0,0,0,0,2
Elim Garak/Julian Bashir/Keiko O'Brien,0,1,0,0,0,0,1
Cox/Kira Nerys,1,0,0,0,0,0,1
Cox/non-cast,1,0,0,0,0,0,1
Dax/Elim Garak/Julian Bashir/Worf,0,1,0,0,0,0,1
Skrain Dukat/Weyoun/Weyoun,1,0,0,0,0,0,1
Weyoun/Weyoun,1,0,0,0,0,0,1
Kasidy Yates/Keiko O'Brien/Miles O'Brien,0,1,0,0,0,0,1
Boday/Julian Bashir,1,0,0,0,0,0,1
Bareil Antos/Morn,0,1,0,0,0,0,1
Bareil Antos/Benjamin Sisko/Elim Garak/Ezri Dax/Jadzia Dax/Julian Bashir/Kasidy Yates/Keiko O'Brien/Kira Nerys/Leeta/Miles O'Brien/Odo/Quark/Rom/Shakaar Edon/Worf,1,0,0,0,0,0,1
Curzon Dax/Elim Garak/Julian Bashir/Odo,1,0,0,0,0,0,1
Elim Garak/Julian Bashir/Quark,1,0,0,0,0,0,1
Curzon Dax/Elim Garak/Odo,1,0,0,0,0,0,1
Alexander Rozhenko/Jake Sisko/Nog,0,1,0,0,0,0,1
Ezri Dax/Kilana,1,0,0,0,0,0,1
Elim Garak/Ezri Dax,0,1,0,0,0,0,1
Elim Garak/Joseph Sisko,1,0,0,0,0,0,1
Elim Garak/Julian Bashir/Weyoun,1,0,0,0,0,0,1
Kela Idaris/non-cast,1,0,0,0,0,0,1
Ziranne Idaris/non-cast,1,0,0,0,0,0,1
Corat Damar/Elim Garak/non-cast,0,1,0,0,0,0,1
Julian Bashir/Winn Adami,1,0,0,0,0,0,1
Kira Nerys/Tekeny Ghemor,1,0,0,0,0,0,1
Alexander Rozhenko/Julian Bashir,0,1,0,0,0,0,1
Quark/Skrain Dukat,1,0,0,0,0,0,1
Julian Bashir/Martok/Sirella,1,0,0,0,0,0,1
Elim Garak/Richard Bashir,1,0,0,0,0,0,1
Benjamin Sisko/Captain Solok,1,0,0,0,0,0,1
Benjamin Sisko/Curzon Dax/non-cast,1,0,0,0,0,0,1
Kasidy Yates/Keiko O'Brien,1,0,0,0,0,0,1
Benjamin Sisko/Dax,1,0,0,0,0,0,1
Elim Garak/Kira Nerys/Worf,0,1,0,0,0,0,1
Ellis Gareth/Julian Bashir,1,0,0,0,0,0,1
Eris/Kilana,1,0,0,0,0,0,1
Deral/Julian Bashir,1,0,0,0,0,0,1
Pel/non-cast,0,0,1,0,1,0,2
Gor/Weyoun,0,0,0,0,1,0,1
Alexander Rozhenko/Ch'Targh,0,1,0,0,0,0,1
Ezri Dax/Nog,1,0,0,0,0,0,1
Curzon Dax/Julian Bashir/Odo,1,0,0,0,0,0,1
Julian Bashir/Lwaxana Troi,1,0,0,0,0,0,1
Elim Garak/Julian Bashir/Kaga,1,0,0,0,0,0,1
Benjamin Sisko/Kasidy Yates/Weyoun,1,0,0,0,0,0,1
Benjamin Sisko/Weyoun,1,0,0,0,0,0,1
Kasidy Yates/Weyoun,1,0,0,0,0,0,1
Benjamin Sisko/Ezri Dax/Kasidy Yates,1,0,0,0,0,0,1
Curzon Dax/Julian Bashir,1,0,0,0,0,0,1
Elim Garak/Keiko O'Brien/Kelas Parmak/Miles O'Brien,1,0,0,0,0,0,1
Amsha Bashir/Elim Garak,1,0,0,0,0,0,1
Amsha Bashir/Elim Garak/Richard Bashir,1,0,0,0,0,0,1
Brunt/non-cast,1,0,0,0,0,0,1
Julian Bashir/Keiko O'Brien/Kira Nerys/Miles O'Brien,1,0,0,0,0,0,1
Corat Damar/Quark,1,0,0,0,0,0,1
Grilka/Lenara Kahn/non-cast,1,0,0,0,0,0,1
Jadzia Dax/Jennifer Sisko,1,0,0,0,0,0,1
Vash/non-cast,0,1,0,0,0,0,1
Borath/Weyoun,0,0,1,0,0,0,1
Emergency Medical Hologram Mark II/non-cast,0,1,0,0,0,0,1
Elim Garak/Quark/non-cast,0,1,0,0,0,0,1
Iliana Ghemor/Tora Ziyal,1,0,0,0,0,0,1
Ezri Dax/Vic Fontaine,0,1,0,0,0,0,1
Ezri Dax/Lauren,1,0,0,0,0,0,1
Leeta/Zek/non-cast,1,0,0,0,0,0,1
Corat Damar/Gul Rusot,1,1,0,0,0,0,2
Gowron/Julian Bashir,0,0,1,1,0,0,2
Elim Garak/Julian Bashir/Kira Nerys,1,0,0,0,0,0,1
Bareil Antos/Julian Bashir,1,0,0,0,0,0,1
Miles O'Brien/Worf,1,0,0,0,0,0,1
Jadzia Dax/Jadzia Dax,0,1,0,0,0,0,1
Lwaxana Troi/Odo/Quark,1,0,0,0,0,0,1
Lwaxana Troi/Quark,1,0,0,0,0,0,1
Elim Garak/Morn,1,0,0,0,0,0,1
Elim Garak/Worf/non-cast,1,0,0,0,0,0,1
Kimara Cretak/non-cast,1,0,0,0,0,0,1
Jack/non-cast,1,0,0,0,0,0,1
Benjamin Sisko/Jennifer Sisko/Kasidy Yates,1,0,0,0,0,0,1
Lauren/non-cast,1,0,0,0,0,0,1
Elim Garak/Luther Sloan,0,1,0,0,0,0,1
Odo/Skrain Dukat,1,0,0,0,0,0,1
Dax/Julian Bashir/Kira Nerys/Odo,1,0,0,0,0,0,1
Elim Garak/Opaka,0,1,0,0,0,0,1
Ishka/Jadzia Dax,1,0,0,0,0,0,1
Jennifer Sisko/Miles O'Brien,0,0,1,0,0,0,1
Bareil Antos/Winn Adami,0,1,0,0,0,0,1
Dax/Kira Nerys,1,0,0,0,0,0,1
Kira Nerys/Vic Fontaine,1,0,0,0,0,0,1
Elim Garak/Keevan,0,1,0,0,0,0,1
Martok/Sirella,1,0,0,0,0,0,1
Ezri Dax/Jadzia Dax/non-cast,1,0,0,0,0,0,1
Mareel/Verad,1,0,0,0,0,0,1
Alexander Rozhenko/Lauren,0,0,1,0,0,0,1
Boday/Jadzia Dax,1,0,0,0,0,0,1
Jake Sisko/Laira,1,0,0,0,0,0,1
Jake Sisko/Mardah,1,0,0,0,0,0,1
Jadzia Dax/Keiko O'Brien/Kira Nerys,1,0,0,0,0,0,1
Prinadora/Rom,1,0,0,0,0,0,1
Lela Dax/non-cast,0,1,0,0,0,0,1
Dax/Jadzia Dax,1,0,0,0,0,0,1
Deyos/Weyoun,0,1,0,0,0,0,1
Luaran/Yelgrun,0,1,0,0,0,0,1
Ezri Dax/Skrain Dukat,1,0,0,0,0,0,1
Julian Bashir/Kukalaka,0,0,0,0,0,1,1
Tekeny Ghemor/non-cast,0,0,0,0,1,0,1
Keevan/Weyoun/non-cast,1,0,0,0,0,0,1
Elim Garak/Winn Adami,1,0,0,0,0,0,1
Elim Garak/Julian Bashir/Miles O'Brien/non-cast/non-cast,1,0,0,0,0,0,1
Elim Garak/Julian Bashir/non-cast/non-cast,1,0,0,0,0,0,1
Bareil Antos/Benjamin Sisko,1,0,0,0,0,0,1
Elim Garak/Kai Winn,1,0,0,0,0,0,1
Michael Eddington/Rebecca Sullivan,1,0,0,0,0,0,1
Deral/Jadzia Dax,1,0,0,0,0,0,1
Keiko O'Brien/Kira Nerys/Miles O'Brien/non-cast,0,1,0,0,0,0,1
Gowron/non-cast,1,0,0,0,0,0,1
Elim Garak/Procal Dukat,1,0,0,0,0,0,1
Skrain Dukat/Vreenak/non-cast,0,1,0,0,0,0,1
Kira Nerys/Natima Lang,1,0,0,0,0,0,1
Kai Winn/Skrain Dukat,1,0,0,0,0,0,1
Kaga/Quark,1,0,0,0,0,0,1
Omet'iklan/Weyoun,0,1,0,1,1,0,3
Jadzia Dax/Julian Bashir/Kira Nerys,0,1,0,0,0,0,1
Dax/Julian Bashir,1,0,0,0,0,0,1
Elim Garak/Kelas Parmak/Tora Ziyal,1,0,0,0,0,0,1
Kelas Parmak/Tora Ziyal,1,0,0,0,0,0,1
Elim Garak/Julian Bashir/Morn,1,0,0,0,0,0,1
Jadzia Dax/K'Ehleyr/Worf,1,0,0,0,0,0,1
Drex/Elim Garak,0,0,1,0,1,0,2
Athra Dukat/Skrain Dukat,1,0,0,0,0,0,1
Lwaxana Troi/Mora Pol,0,1,0,0,0,0,1
Elim Garak/Q,1,0,0,0,0,0,1
Elim Garak/Skrain Dukat/Tora Naprem,1,0,0,0,0,0,1
Jadzia Dax/Kira Nerys/Leeta/Lenara Kahn,1,0,0,0,0,0,1
Elim Garak/Kelas Parmak/Pythas Lok,1,0,0,0,0,0,1
Corat Damar/Elim Garak/Julian Bashir,1,0,0,0,0,0,1
Gilora Rejal/Nal Dejar,1,0,0,0,0,0,1
Leeta/Quark,1,0,0,0,0,0,1
Corat Damar/Niala Damar,1,0,0,0,0,0,1
Kelas Parmak/Pythas Lok,0,1,0,0,0,0,1
Miles O'Brien/non-cast/non-cast,1,0,0,0,0,0,1
Quark/Vash,0,1,0,0,0,0,1
Jadzia Dax/Julian Bashir/Kira Nerys/non-cast,1,0,0,0,0,0,1
Keevan/Kilana,0,0,1,1,0,0,2
Jadzia Dax/Julian Bashir/Leeta,0,1,0,0,0,0,1
Elim Garak/Skrain Dukat/Weyoun,1,0,0,0,0,0,1
Elim Garak/Jadzia Dax/non-cast,1,0,0,0,0,0,1
Elim Garak/Jack,0,1,0,0,0,0,1
Corat Damar/Jadzia Dax,1,0,0,0,0,0,1
Athra Dukat/Tora Naprem,1,0,0,0,0,0,1
Kira Nerys/Tahna Los,0,1,0,0,0,0,1
Kira Nerys/Kira Reon,0,1,0,0,0,0,1
Alexander Rozhenko/non-cast,1,0,0,0,0,0,1
Kira Meru/non-cast,0,1,0,0,0,0,1
Kira Nerys/Lenara Kahn,1,0,0,0,0,0,1
Julian Bashir/Lauren,1,0,0,0,0,0,1
Total,6517,1590,244,187,174,17,8729
